x,y,,
128.7174732,35.8363186,,
128.7171378,35.8365428,,
128.7167551,35.8367093,,
128.7163398,35.8368119,,
128.715908,35.8368466,,
128.7154761,35.8368119,,
128.7150609,35.8367093,,
128.7146781,35.8365428,,
128.7143427,35.8363186,,
128.7140674,35.8360454,,
128.7138629,35.8357338,,
128.7137369,35.8353957,,
128.7136944,35.835044,,
128.7137369,35.8346924,,
128.7138629,35.8343542,,
128.7140675,35.8340426,,
128.7143428,35.8337695,,
128.7146782,35.8335453,,
128.7150609,35.8333787,,
128.7154761,35.8332762,,
128.715908,35.8332415,,
128.7163398,35.8332762,,
128.7167551,35.8333787,,
128.7171378,35.8335453,,
128.7174732,35.8337695,,
128.7177485,35.8340426,,
128.717953,35.8343542,,
128.718079,35.8346924,,
128.7181216,35.835044,,
128.718079,35.8353957,,
128.7179531,35.8357338,,
128.7177485,35.8360454,,
128.7174732,35.836318,,
128.4960924,35.856885,,
128.4957569,35.8571092,,
128.4953741,35.8572757,,
128.4949587,35.8573783,,
128.4945267,35.8574129,,
128.4940948,35.8573783,,
128.4936794,35.8572757,,
128.4932966,35.8571092,,
128.4929611,35.856885,,
128.4926857,35.8566118,,
128.4924811,35.8563002,,
128.4923551,35.8559621,,
128.4923126,35.8556104,,
128.4923551,35.8552588,,
128.4924811,35.8549206,,
128.4926858,35.854609,,
128.4929611,35.8543359,,
128.4932966,35.8541117,,
128.4936794,35.8539451,,
128.4940948,35.8538426,,
128.4945267,35.8538079,,
128.4949587,35.8538426,,
128.495374,35.8539451,,
128.4957568,35.8541117,,
128.4960924,35.8543359,,
128.4963677,35.854609,,
128.4965723,35.8549206,,
128.4966983,35.8552588,,
128.4967409,35.8556104,,
128.4966984,35.8559621,,
128.4965724,35.8563002,,
128.4963678,35.8566118,,
128.4960924,35.85688,,
129.1602385,35.2313368,,
129.1599056,35.231561,,
129.1595257,35.2317276,,
129.1591136,35.2318302,,
129.158685,35.2318648,,
129.1582563,35.2318302,,
129.1578442,35.2317276,,
129.1574643,35.231561,,
129.1571314,35.2313368,,
129.1568582,35.2310637,,
129.1566551,35.230752,,
129.1565301,35.2304138,,
129.1564879,35.2300621,,
129.1565301,35.2297104,,
129.1566552,35.2293723,,
129.1568582,35.2290606,,
129.1571314,35.2287874,,
129.1574644,35.2285633,,
129.1578442,35.2283967,,
129.1582563,35.2282941,,
129.158685,35.2282594,,
129.1591136,35.2282941,,
129.1595257,35.2283967,,
129.1599055,35.2285633,,
129.1602385,35.2287874,,
129.1605117,35.2290606,,
129.1607147,35.2293723,,
129.1608398,35.2297104,,
129.160882,35.2300621,,
129.1608398,35.2304138,,
129.1607148,35.230752,,
129.1605117,35.2310637,,
129.1602385,35.231336,,
128.5518639,35.9467475,,
128.551528,35.9469717,,
128.5511448,35.9471383,,
128.5507289,35.9472408,,
128.5502965,35.9472755,,
128.549864,35.9472408,,
128.5494482,35.9471383,,
128.5490649,35.9469717,,
128.548729,35.9467475,,
128.5484534,35.9464744,,
128.5482485,35.9461628,,
128.5481224,35.9458246,,
128.5480798,35.945473,,
128.5481224,35.9451213,,
128.5482486,35.9447832,,
128.5484534,35.9444716,,
128.5487291,35.9441984,,
128.549065,35.9439743,,
128.5494482,35.9438077,,
128.549864,35.9437051,,
128.5502965,35.9436705,,
128.5507289,35.9437051,,
128.5511447,35.9438077,,
128.551528,35.9439743,,
128.5518639,35.9441984,,
128.5521395,35.9444716,,
128.5523444,35.9447832,,
128.5524705,35.9451213,,
128.5525131,35.945473,,
128.5524705,35.9458246,,
128.5523444,35.9461628,,
128.5521396,35.9464744,,
128.5518639,35.946747,,
128.5336045,35.8355413,,
128.5332691,35.8357654,,
128.5328864,35.835932,,
128.5324711,35.8360346,,
128.5320393,35.8360692,,
128.5316074,35.8360346,,
128.5311921,35.835932,,
128.5308094,35.8357654,,
128.530474,35.8355413,,
128.5301987,35.8352681,,
128.5299942,35.8349565,,
128.5298682,35.8346183,,
128.5298257,35.8342667,,
128.5298682,35.833915,,
128.5299942,35.8335769,,
128.5301988,35.8332653,,
128.5304741,35.8329921,,
128.5308095,35.832768,,
128.5311922,35.8326014,,
128.5316074,35.8324988,,
128.5320393,35.8324642,,
128.5324711,35.8324988,,
128.5328863,35.8326014,,
128.533269,35.832768,,
128.5336045,35.8329921,,
128.5338797,35.8332653,,
128.5340843,35.8335769,,
128.5342103,35.833915,,
128.5342528,35.8342667,,
128.5342103,35.8346183,,
128.5340843,35.8349565,,
128.5338798,35.8352681,,
128.5336045,35.835541,,
128.3018708,36.5122368,,
128.3015325,36.5124609,,
128.3011465,36.5126275,,
128.3007276,36.5127301,,
