x,y
128.6202629,35.8642732
128.6198665,35.8645487
128.6194221,35.8647704
128.6189406,35.8649328
128.6184338,35.8650318
128.6179141,35.8650651
128.6173945,35.8650318
128.6168877,35.8649328
128.6164062,35.8647704
128.6159618,35.8645487
128.6155654,35.8642732
128.6152269,35.8639506
128.6149546,35.8635888
128.6147552,35.8631968
128.6146335,35.8627843
128.6145926,35.8623613
128.6146335,35.8619384
128.6147552,35.8615258
128.6149547,35.8611339
128.615227,35.8607721
128.6155655,35.8604495
128.6159619,35.860174
128.6164063,35.8599523
128.6168878,35.8597899
128.6173946,35.8596909
128.6179141,35.8596576
128.6184337,35.8596909
128.6189405,35.8597899
128.619422,35.8599523
128.6198664,35.860174
128.6202628,35.8604495
128.6206013,35.8607721
128.6208736,35.8611339
128.6210731,35.8615258
128.6211948,35.8619384
128.6212357,35.8623613
128.6211948,35.8627843
128.6210731,35.8631968
128.6208737,35.8635888
128.6206014,35.8639506
128.6202629,35.864273
128.5764217,35.8531118
128.5760254,35.8533874
128.5755811,35.853609
128.5750996,35.8537714
128.5745929,35.8538705
128.5740733,35.8539037
128.5735538,35.8538705
128.573047,35.8537714
128.5725655,35.853609
128.5721212,35.8533874
128.5717249,35.8531118
128.5713865,35.8527892
128.5711142,35.8524274
128.5709148,35.8520354
128.5707931,35.8516229
128.5707523,35.8511999
128.5707932,35.850777
128.5709148,35.8503644
128.5711143,35.8499725
128.5713866,35.8496107
128.571725,35.8492881
128.5721213,35.8490126
128.5725656,35.8487909
128.5730471,35.8486285
128.5735538,35.8485295
128.5740733,35.8484962
128.5745928,35.8485295
128.5750995,35.8486285
128.575581,35.8487909
128.5760253,35.8490126
128.5764216,35.8492881
128.57676,35.8496107
128.5770323,35.8499725
128.5772318,35.8503644
128.5773535,35.850777
128.5773944,35.8511999
128.5773535,35.8516229
128.5772319,35.8520354
128.5770324,35.8524274
128.5767602,35.8527892
128.5764217,35.853111
128.5822433,35.8414565
128.5818471,35.841732
128.5814028,35.8419537
128.5809214,35.8421161
128.5804147,35.8422151
128.5798952,35.8422484
128.5793758,35.8422151
128.5788691,35.8421161
128.5783877,35.8419537
128.5779434,35.841732
128.5775472,35.8414565
128.5772088,35.8411338
128.5769365,35.8407721
128.5767372,35.8403801
128.5766155,35.8399675
128.5765747,35.8395446
128.5766156,35.8391216
128.5767372,35.8387091
128.5769366,35.8383171
128.5772089,35.8379554
128.5775473,35.8376327
128.5779435,35.8373572
128.5783878,35.8371355
128.5788692,35.8369732
128.5793758,35.8368741
128.5798952,35.8368408
128.5804147,35.8368741
128.5809213,35.8369732
128.5814027,35.8371355
128.581847,35.8373572
128.5822432,35.8376327
128.5825816,35.8379554
128.5828538,35.8383171
128.5830533,35.8387091
128.5831749,35.8391216
128.5832158,35.8395446
128.5831749,35.8399675
128.5830533,35.8403801
128.5828539,35.8407721
128.5825817,35.8411338
128.5822433,35.841456
128.6461101,35.819246
128.645714,35.8195216
128.6452699,35.8197433
128.6447886,35.8199056
128.6442821,35.8200047
128.6437627,35.820038
