x,y
128.572554,35.8750232
128.5722184,35.8752473
128.5718355,35.8754139
128.5714201,35.8755165
128.570988,35.8755511
128.5705559,35.8755165
128.5701405,35.8754139
128.5697576,35.8752473
128.569422,35.8750232
128.5691466,35.87475
128.5689419,35.8744384
128.5688159,35.8741002
128.5687733,35.8737486
128.5688159,35.8733969
128.5689419,35.8730588
128.5691466,35.8727472
128.569422,35.872474
128.5697576,35.8722499
128.5701405,35.8720833
128.570556,35.8719807
128.570988,35.8719461
128.5714201,35.8719807
128.5718355,35.8720833
128.5722184,35.8722499
128.572554,35.872474
128.5728294,35.8727472
128.5730341,35.8730588
128.5731601,35.8733969
128.5732027,35.8737486
128.5731601,35.8741002
128.5730341,35.8744384
128.5728295,35.87475
128.572554,35.875023
128.550601,35.9349823
128.5502652,35.9352065
128.549882,35.935373
128.5494662,35.9354756
128.5490338,35.9355102
128.5486014,35.9354756
128.5481856,35.935373
128.5478025,35.9352065
128.5474666,35.9349823
128.547191,35.9347092
128.5469862,35.9343975
128.5468601,35.9340594
128.5468175,35.9337077
128.5468601,35.9333561
128.5469862,35.933018
128.547191,35.9327063
128.5474667,35.9324332
128.5478025,35.932209
128.5481857,35.9320425
128.5486014,35.9319399
128.5490338,35.9319053
128.5494662,35.9319399
128.549882,35.9320425
128.5502651,35.932209
128.550601,35.9324332
128.5508766,35.9327063
128.5510814,35.933018
128.5512076,35.9333561
128.5512502,35.9337077
128.5512076,35.9340594
128.5510815,35.9343975
128.5508767,35.9347092
128.550601,35.934982
128.581411,35.8748583
128.5810754,35.8750825
128.5806925,35.875249
128.580277,35.8753516
128.579845,35.8753863
128.5794129,35.8753516
128.5789975,35.875249
128.5786146,35.8750825
128.578279,35.8748583
128.5780035,35.8745851
128.5777989,35.8742735
128.5776729,35.8739354
128.5776303,35.8735837
128.5776729,35.8732321
128.5777989,35.8728939
128.5780036,35.8725823
128.578279,35.8723092
128.5786146,35.872085
128.5789975,35.8719184
128.5794129,35.8718159
128.579845,35.8717812
128.580277,35.8718159
128.5806925,35.8719184
128.5810754,35.872085
128.581411,35.8723092
128.5816864,35.8725823
128.581891,35.8728939
128.5820171,35.8732321
128.5820596,35.8735837
128.5820171,35.8739354
128.5818911,35.8742735
128.5816864,35.8745851
128.581411,35.874858
128.6414573,35.8883951
128.6411216,35.8886193
128.6407387,35.8887858
128.6403232,35.8888884
128.639891,35.888923
128.6394589,35.8888884
128.6390433,35.8887858
128.6386604,35.8886193
128.6383247,35.8883951
128.6380493,35.8881219
128.6378446,35.8878103
128.6377185,35.8874722
128.637676,35.8871205
128.6377186,35.8867689
128.6378446,35.8864307
128.6380493,35.8861191
128.6383248,35.885846
128.6386604,35.8856218
128.6390434,35.8854552
128.6394589,35.8853527
128.639891,35.885318
128.6403231,35.8853527
128.6407387,35.8854552
128.6411216,35.8856218
128.6414573,35.885846
128.6417327,35.8861191
128.6419374,35.8864307
128.6420635,35.8867689
128.6421061,35.8871205
128.6420635,35.8874722
128.6419375,35.8878103
